GRAVE	01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx	Painel!A5:G5	As somas ignoram Pago?: setembro dá 6.670 − (4.173,90 + 362 não pagos) = R$ 2.134,10, quando o caixa do mês é R$ 2.496,10; saldo acumulado dá R$ 8.624,30 em vez de R$ 8.986,30	O cliente toma decisão com saldo incorreto	Acrescentar Pago? = Sim aos totais de caixa e separar previsão de realizado
MÉDIO	03-advogados/12-reserva-e-metas-de-caixa.xlsx; 03-advogados/20-resumo-do-mes.xlsx; 04-medicos/01-agenda-e-ocupacao.xlsx; reservas 12 e metas 19 dos dois kits	Excel e Google reais!ordem 6	Locale e comportamento da data do sistema não foram executados nativamente	FIXED/TEXT, datas e caches podem diferir entre Excel pt-BR, Sheets Brasil e visualizador sem recálculo	Testar cálculo automático e manual, salvar/reabrir, moeda 131.200,00, percentual 0,25 = 25%, data ambígua 03/04/2026 e hora 08:30; em ambiente descartável testar 17/12/2026 e 04/01/2027, além de mudar ano/mês em Config
MÉDIO	Os 53 arquivos	Excel e Google reais!ordem 7	Os testes prioritários anteriores não certificam que cada um dos 53 abre e mantém todos os recursos	Erro de reparo, gráfico ou regra pode ser exclusivo de um arquivo	Fechar o risco residual com uma passagem de abertura, recálculo, edição amarela, salvar e reabrir de cada arquivo regenerado, registrando versão do Excel, locale e resultado; usar o inventário anexo como lista de controle
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E38	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E39	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E40	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E41	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E42	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E43	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E44	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E45	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E46	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/04-projetos-e-prazos.xlsx	Painel!E47	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F28	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F29	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F30	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F31	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F32	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F33	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F34	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F35	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F36	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F37	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F38	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Em aberto!F39	Prefixo _xlfn no conteúdo da célula: _xlfn.MINIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/05-ata-e-pendencias.xlsx	Resumo!A33	Prefixo _xlfn no conteúdo da célula: _xlfn.TEXTJOIN	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Base!proteção	Aba protegida=False; amarelas=9000; desbloqueadas=9000; não amarelas desbloqueadas=nenhuma; amarelas bloqueadas=nenhuma	Fórmulas amarelas=nenhuma; fórmulas desbloqueadas=nenhuma	Nas datas relativas amarelas, substituir a demonstração por valor definitivo antes de usar como registro; Base sem proteção é bloqueador
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E20	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E21	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E22	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E23	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E24	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E25	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E26	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
GRAVE	02-completo/10-base-limpa.xlsx	Resumo!E27	Prefixo _xlfn no conteúdo da célula: _xlfn.MAXIFS	Não compatível com a regra Excel 2007/2016 perpétuo	Substituir função, preservando a lógica e sem esconder falhas em IFERROR
