Nada | seu-socio-gestor-auditoria-3.zip | Escopo!18/09/2026 | 53 XLSX abertos e inspecionados: 234 abas, 162.716 fórmulas, 276 validações e 470 regras condicionais. TRIAGEM-COMPLETA.md, LEIA-ME.md, INVENTARIO.md e referências lidos. Comparação com o pacote e o parecer anteriores. | Diagnóstico sem alterar qualquer XLSX; hashes dos 53 originais conferidos ao final. | Este relatório contém correções G-1 a G-32, regressões, 12 contas novas, contratos, veredictos, testes nativos e inventários. Nada significa ausência de achado naquele teste, não certificação universal.

Nada | 01-essencial/03-ganhos-e-gastos.xlsx | Lançamentos!G5:G504 | Validação inspecionada: {"type": "list", "sqref": "G5:G504", "formula1": "\"Sim,Não\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 01-essencial/03-ganhos-e-gastos.xlsx | Lançamentos!A5:A504 | Validação inspecionada: {"type": "date", "sqref": "A5:A504", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 01-essencial/03-ganhos-e-gastos.xlsx | Lançamentos!E5:E504 | Validação inspecionada: {"type": "decimal", "sqref": "E5:E504", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 01-essencial/03-ganhos-e-gastos.xlsx | Lançamentos!A5:J504 | Regra condicional: {"type": "expression", "formula": ["$B5=\"Receita\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 01-essencial/03-ganhos-e-gastos.xlsx | Lançamentos!A5:J504 | Regra condicional: {"type": "expression", "formula": ["AND($B5=\"Despesa\",$G5=\"Não\")"], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Inventário!arquivo | 4 abas; 1680 fórmulas; 6 validações; 7 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: {'Config': ['B4'], 'Tarefas': ['E4', 'E5', 'E6', 'E7', 'E8', 'E9', 'E10', 'E11', 'E12', 'E13', 'E14', 'E15', 'E16', 'E17', 'E18', 'E19', 'E20', 'E21', 'E23']}. | Funções de células: CHOOSE, COUNTIF, COUNTIFS, IF, IFERROR, INDEX, LARGE, MATCH, MIN, OR, REPT, ROUND, ROW, SUMIFS, TEXT, TODAY, WEEKDAY; SHA-256 inalterado: 0e1bcc059387a37d105ade1519edd70d3c388d6bc29677681974829f55a529b4 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 02-completo/01-semana-organizada.xlsx | Hoje!A10:G21 | Regra condicional: {"type": "expression", "formula": ["$D10=\"Atrasada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Hoje!A10:G21 | Regra condicional: {"type": "expression", "formula": ["$D10=\"Hoje\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Hoje!A25:H31 | Regra condicional: {"type": "expression", "formula": ["$E25>1"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!D4:D303 | Validação inspecionada: {"type": "list", "sqref": "D4:D303", "formula1": "=OFFSET(Config!$B$9,0,0,MAX(1,COUNTA(Config!$B$9:$B$16)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!F4:G303 | Validação inspecionada: {"type": "list", "sqref": "F4:G303", "formula1": "\"1,2,3\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!I4:I303 | Validação inspecionada: {"type": "list", "sqref": "I4:I303", "formula1": "=Config!$D$9:$D$12", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!C4:C303 | Validação inspecionada: {"type": "list", "sqref": "C4:C303", "formula1": "=OFFSET(Config!$F$9,0,0,MAX(1,COUNTA(Config!$F$9:$F$16)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!E4:E303 | Validação inspecionada: {"type": "date", "sqref": "E4:E303", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!H4:H303 | Validação inspecionada: {"type": "decimal", "sqref": "H4:H303", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!A4:N303 | Regra condicional: {"type": "expression", "formula": ["$L4=\"Atrasada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!A4:N303 | Regra condicional: {"type": "expression", "formula": ["$L4=\"Hoje\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!A4:N303 | Regra condicional: {"type": "expression", "formula": ["OR($L4=\"Feito\",$L4=\"Cancelado\")"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/01-semana-organizada.xlsx | Tarefas!J4:J303 | Regra condicional: {"type": "expression", "formula": ["$J4=\"Alta\""], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Inventário!arquivo | 5 abas; 201 fórmulas; 6 validações; 4 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: nenhuma. | Funções de células: ABS, AVERAGE, CHAR, COUNT, COUNTIF, FIXED, IF, IFERROR, INDEX, LOWER, MATCH, MAX, MIN, NA, OR, SUM; SHA-256 inalterado: da8ea9f1ea3a542a68cbb101437ae3fc7121dde6b9d7407b1b98d02562547bd3 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Painel!B18 | Validação inspecionada: {"type": "list", "sqref": "B18", "formula1": "=OFFSET(Indicadores!$A$5,0,0,MAX(1,COUNTA(Indicadores!$A$5:$A$16)),1)", "formula2": "None", "allowBlank": "False", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Painel!A5:I16 | Regra condicional: {"type": "expression", "formula": ["OR($G5=\"Abaixo da meta\",$G5=\"Acima da meta\")"], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Painel!A5:I16 | Regra condicional: {"type": "expression", "formula": ["$G5=\"No alvo\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Painel!B5:C16 E5:E16 H5:H16 | Regra condicional: {"type": "expression", "formula": ["$N5=0"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Painel!B5:C16 E5:E16 H5:H16 | Regra condicional: {"type": "expression", "formula": ["$N5=1"], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Config!B6 | Validação inspecionada: {"type": "list", "sqref": "B6", "formula1": "=Config!$D$5:$D$16", "formula2": "None", "allowBlank": "False", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!E5:E16 | Validação inspecionada: {"type": "list", "sqref": "E5:E16", "formula1": "\"Sim,Não\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!C5:C16 | Validação inspecionada: {"type": "list", "sqref": "C5:C16", "formula1": "\"0,1,2\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!B5:B16 | Validação inspecionada: {"type": "list", "sqref": "B5:B16", "formula1": "\"R$,%,un,h,pts\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/02-relatorio-mensal-pronto.xlsx | Indicadores!T5:T16 | Validação inspecionada: {"type": "list", "sqref": "T5:T16", "formula1": "\"Soma,Média\"", "formula2": "None", "allowBlank": "False", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "Escolha Soma (empilha) ou Média (razão).", "errorTitle": "Como acumular", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Inventário!arquivo | 4 abas; 1196 fórmulas; 8 validações; 3 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: nenhuma. | Funções de células: COUNTA, DATE, IF, IFERROR, INDEX, MATCH, MONTH, OR, REPT, ROUND, SUM, SUMIFS, YEAR; SHA-256 inalterado: 1cf20f3bdad4e23f730447afe538ae208c4fb397955714b99f66a42bbce83e58 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Painel!D48:D59 | Regra condicional: {"type": "expression", "formula": ["D48<0"], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Config!B6 | Validação inspecionada: {"type": "list", "sqref": "B6", "formula1": "=Config!$H$5:$H$16", "formula2": "None", "allowBlank": "False", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Config!B10 | Validação inspecionada: {"type": "list", "sqref": "B10", "formula1": "=OFFSET(Config!$F$5,0,0,MAX(1,COUNTA(Config!$F$5:$F$16)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!B5:B504 | Validação inspecionada: {"type": "list", "sqref": "B5:B504", "formula1": "\"Receita,Despesa\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!C5:C504 | Validação inspecionada: {"type": "list", "sqref": "C5:C504", "formula1": "=OFFSET(Config!$J$5,0,0,MAX(1,COUNTA(Config!$D$5:$D$16)+COUNTA(Config!$F$5:$F$16)),1)", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!F5:F504 | Validação inspecionada: {"type": "list", "sqref": "F5:F504", "formula1": "\"Pix,Cartão,Dinheiro,Boleto,Transferência\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!G5:G504 | Validação inspecionada: {"type": "list", "sqref": "G5:G504", "formula1": "\"Sim,Não\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!A5:A504 | Validação inspecionada: {"type": "date", "sqref": "A5:A504", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!E5:E504 | Validação inspecionada: {"type": "decimal", "sqref": "E5:E504", "formula1": "0", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!A5:J504 | Regra condicional: {"type": "expression", "formula": ["$B5=\"Receita\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/03-ganhos-e-gastos.xlsx | Lançamentos!A5:J504 | Regra condicional: {"type": "expression", "formula": ["AND($B5=\"Despesa\",$G5=\"Não\")"], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Inventário!arquivo | 5 abas; 2165 fórmulas; 4 validações; 12 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: {'Config': ['B5']}. | Funções de células: AND, AVERAGEIFS, COUNTIFS, IF, IFERROR, INDEX, LARGE, MATCH, MIN, N, OR, ROW, SUMPRODUCT, TEXT, TODAY, WEEKDAY; SHA-256 inalterado: 82889209ba9a04188b7575f84b063853475c8a7c9a41f56cc65b987bfefd4cda | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Painel!A9:H18 | Regra condicional: {"type": "expression", "formula": ["$H9=\"Com atraso\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Painel!A9:H18 | Regra condicional: {"type": "expression", "formula": ["$H9=\"Concluído\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Painel!F9:F18 | Regra condicional: {"type": "expression", "formula": ["F9>0"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Painel!A23:H34 | Regra condicional: {"type": "expression", "formula": ["$F23=\"Atrasada\""], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Painel!A23:H34 | Regra condicional: {"type": "expression", "formula": ["$F23=\"Vence em breve\""], "priority": 5, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Linha do tempo!E5:R44 | Regra condicional: {"type": "expression", "formula": ["E5=1"], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Linha do tempo!E5:R44 | Regra condicional: {"type": "expression", "formula": ["E5=2"], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Linha do tempo!E5:R44 | Regra condicional: {"type": "expression", "formula": ["E5=3"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Linha do tempo!E4:R4 | Regra condicional: {"type": "expression", "formula": ["AND(E$4<=Config!$B$5,E$4+6>=Config!$B$5)"], "priority": 4, "stopIfTrue": null, "operator": null} | Referência entre abas=True | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!A5:A304 | Validação inspecionada: {"type": "list", "sqref": "A5:A304", "formula1": "=Config!$A$10:$A$19", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!C5:C304 | Validação inspecionada: {"type": "list", "sqref": "C5:C304", "formula1": "=Config!$A$22:$A$31", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!D5:E304 I5:I304 | Validação inspecionada: {"type": "date", "sqref": "D5:E304 I5:I304", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!F5:F304 | Validação inspecionada: {"type": "decimal", "sqref": "F5:F304", "formula1": "0", "formula2": "1", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "Digite entre 0% e 100%", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!A5:J304 | Regra condicional: {"type": "expression", "formula": ["$G5=\"Atrasada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!A5:J304 | Regra condicional: {"type": "expression", "formula": ["$G5=\"Vence em breve\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/04-projetos-e-prazos.xlsx | Etapas!A5:J304 | Regra condicional: {"type": "expression", "formula": ["$G5=\"Concluída\""], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Inventário!arquivo | 6 abas; 1809 fórmulas; 7 validações; 7 regras; todas as abas protegidas; zero desbloqueada fora do amarelo. Fórmulas amarelas/editáveis: {'Config': ['B5']}. | Funções de células: AND, CHAR, COUNTIFS, IF, IFERROR, INDEX, LARGE, LEFT, LEN, LOWER, MATCH, MIN, OR, ROW, SUMPRODUCT, TEXT, TODAY; SHA-256 inalterado: 14877493e3a2242aeb5416a8c9b753a16c7bca1571ed6f30525eb528b4e1c059 | Ver achados antes de interpretar ausência de anomalia estrutural como correção funcional.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Em aberto!A10:H24 | Regra condicional: {"type": "expression", "formula": ["$E10=\"Atrasada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Em aberto!A10:H24 | Regra condicional: {"type": "expression", "formula": ["$E10=\"Hoje\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Em aberto!C28:C39 | Regra condicional: {"type": "expression", "formula": ["AND(ISNUMBER(C28),C28>0)"], "priority": 3, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Config!B6 | Validação inspecionada: {"type": "list", "sqref": "B6", "formula1": "=Reuniões!$A$5:$A$104", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Reuniões!B5:B104 | Validação inspecionada: {"type": "date", "sqref": "B5:B104", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Reuniões!G5:G104 | Regra condicional: {"type": "expression", "formula": ["AND(ISNUMBER(G5),G5>0)"], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!A5:A304 | Validação inspecionada: {"type": "list", "sqref": "A5:A304", "formula1": "=Reuniões!$A$5:$A$104", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!C5:C304 | Validação inspecionada: {"type": "list", "sqref": "C5:C304", "formula1": "=Config!$A$9:$A$20", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!E5:E304 | Validação inspecionada: {"type": "list", "sqref": "E5:E304", "formula1": "\"Alta,Média,Baixa\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!F5:F304 | Validação inspecionada: {"type": "list", "sqref": "F5:F304", "formula1": "\"A fazer,Fazendo,Feito\"", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!D5:D304 G5:G304 | Validação inspecionada: {"type": "date", "sqref": "D5:D304 G5:G304", "formula1": "1", "formula2": "None", "allowBlank": "True", "showErrorMessage": "True", "errorStyle": "None", "showDropDown": "False", "error": "None", "errorTitle": "None", "prompt": "None", "promptTitle": "None"} | A regra foi lida; configuração não equivale a teste de interface. | Ver achados de restrição excessiva e parcelas zero.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!A5:I304 | Regra condicional: {"type": "expression", "formula": ["$H5=\"Atrasada\""], "priority": 1, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

Nada | 02-completo/05-ata-e-pendencias.xlsx | Pendências!A5:I304 | Regra condicional: {"type": "expression", "formula": ["$H5=\"Hoje\""], "priority": 2, "stopIfTrue": null, "operator": null} | Referência entre abas=False | Avaliação visual nativa pendente; ver roteiro.

